                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1441,                 3.7973,                 3.8614,                0.00153,                0.45833,                0.00402,                0.00074,                  3.783,                 5.8011,                 3.1882,             0.00066373,             0.00066373,             0.00066373
                      2,                 2.6633,                 3.3487,                 3.1056,                0.00304,                0.70833,                0.00731,                 0.0021,                 3.1691,                 4.0887,                 2.8851,              0.0012426,              0.0012426,              0.0012426
                      3,                 2.4063,                 3.0522,                 2.7997,                0.00256,                   0.75,                 0.0058,                0.00156,                 2.7566,                   3.97,                 2.5395,              0.0017335,              0.0017335,              0.0017335
                      4,                 2.2006,                  2.738,                 2.5581,                0.00324,                0.70833,                0.01021,                0.00267,                  2.901,                 3.6897,                  2.649,               0.001604,               0.001604,               0.001604
                      5,                  2.039,                  2.485,                  2.355,                0.00302,                  0.875,                0.01389,                0.00579,                 2.3506,                 3.6252,                 2.2439,               0.001604,               0.001604,               0.001604
                      6,                 1.9558,                 2.3534,                 2.3636,                0.07735,                0.20833,                 0.0601,                 0.0229,                 2.4494,                 3.0582,                 2.2625,               0.001472,               0.001472,               0.001472
                      7,                 1.8556,                 2.1468,                 2.2611,                 0.4328,                   0.25,                0.27452,                0.10291,                 2.2336,                 2.6801,                 2.1245,                0.00134,                0.00134,                0.00134
                      8,                 1.7501,                  1.959,                  2.151,                0.75535,                  0.375,                 0.5124,                0.25759,                 2.0225,                 2.1626,                 1.9627,               0.001208,               0.001208,               0.001208
                      9,                 1.6979,                 1.8431,                 2.0941,                0.75906,                  0.375,                0.48125,                0.18256,                 2.0048,                 2.2495,                 1.9657,               0.001076,               0.001076,               0.001076
                     10,                 1.6531,                 1.7573,                 2.0437,                0.42558,                0.45833,                0.44576,                0.22495,                 1.9394,                 2.0183,                 1.9075,               0.000944,               0.000944,               0.000944
                     11,                 1.6059,                 1.7095,                 1.9829,                      1,                0.45367,                0.62736,                0.35858,                 1.7109,                  1.745,                 1.7691,               0.000812,               0.000812,               0.000812
                     12,                 1.5502,                 1.6165,                 1.9363,                0.87865,                0.54167,                0.69196,                0.32683,                 1.7976,                 1.6899,                 1.8392,                0.00068,                0.00068,                0.00068
                     13,                 1.4893,                 1.5526,                 1.8767,                0.87238,                0.57021,                0.73955,                0.39608,                 1.6635,                 1.4793,                 1.6788,               0.000548,               0.000548,               0.000548
                     14,                 1.4618,                 1.4907,                 1.8452,                0.87705,                0.59497,                0.73516,                0.47501,                  1.497,                 1.4565,                 1.6289,               0.000416,               0.000416,               0.000416
                     15,                 1.4219,                 1.4261,                 1.8163,                0.89305,                 0.6963,                0.82696,                0.47546,                 1.5566,                 1.2733,                 1.5954,               0.000284,               0.000284,               0.000284
